DataAut,Numero Autorizzazione,Soggetto,Piva,Via Autorizzazione,Civico Autorizzazione,Oggetto,Dettaglio Oggetto,Area,Durata,Data Inizio,Data Fine
04/07/16,244244/2016,CEOX SRL  ,4003340967,Via INGANNI ANGELO,25,"Occupazioni permanenti per attività edilizia, per la posa di gru e simili",Ponteggio,36,365,18/07/16,17/07/17
04/07/16,264117/2016,CONDOMINIO VIA DE ALESSANDRI 5 ,80236540151,Via DE ALESSANDRI GIOVANNI,5,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,12.32,105,29/08/16,11/12/16
04/07/16,264117/2016,CONDOMINIO VIA DE ALESSANDRI 5 ,80236540151,Via DE ALESSANDRI GIOVANNI,5,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",10.08,105,29/08/16,11/12/16
04/07/16,264117/2016,CONDOMINIO VIA DE ALESSANDRI 5 ,80236540151,Via DE ALESSANDRI GIOVANNI,5,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,8.25,105,29/08/16,11/12/16
04/07/16,264117/2016,CONDOMINIO VIA DE ALESSANDRI 5 ,80236540151,Via DE ALESSANDRI GIOVANNI,5,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,14.4,105,29/08/16,11/12/16
04/07/16,273387/2016,BENI URBANI DEL CENTRO SAS  ,960570158,Galleria DEL CORSO,3,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,27,62,30/05/16,30/07/16
04/07/16,273387/2016,BENI URBANI DEL CENTRO SAS  ,960570158,Galleria DEL CORSO,3,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,8.1,62,30/05/16,30/07/16
04/07/16,273387/2016,BENI URBANI DEL CENTRO SAS  ,960570158,Galleria DEL CORSO,3,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,6.6,62,30/05/16,30/07/16
04/07/16,273387/2016,BENI URBANI DEL CENTRO SAS  ,960570158,Galleria DEL CORSO,3,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,0.84,62,30/05/16,30/07/16
04/07/16,273387/2016,BENI URBANI DEL CENTRO SAS  ,960570158,Galleria DEL CORSO,3,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Piano di lavoro,55.08,62,30/05/16,30/07/16
04/07/16,273387/2016,BENI URBANI DEL CENTRO SAS  ,960570158,Galleria DEL CORSO,3,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Piano di lavoro,2.16,62,30/05/16,30/07/16
04/07/16,279325/2016,SOLEIL SRL ,4879620153,Via ALTAGUARDIA,11,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,108,30,14/06/16,13/07/16
04/07/16,279325/2016,SOLEIL SRL ,4879620153,Via SAN ROCCO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio alla base,11.55,30,14/06/16,13/07/16
04/07/16,279325/2016,SOLEIL SRL ,4879620153,Via SAN ROCCO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,9.9,30,14/06/16,13/07/16
04/07/16,290753/2016,LVMH ITALIA SPA ,2100770169,Via BIGLI,20,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,24.588,30,20/06/16,19/07/16
04/07/16,,MANELLI IMPRESA SRL  ,6746680724,Via CIALDINI ENRICO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",85.95,126,,
04/07/16,,DONATELLO SPA - LEG. RAPPR. BELLINI LEONARDO (P/C SETTORE TECNICO CASA E DEMANIO) ,1750360974,Via F.LLI ZOIA,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,56,196,,
05/07/16,218055/2016,PORTA GARIBALDI SRL ,8370120969,Corso GARIBALDI GIUSEPPE,123,"Occupazioni permanenti per attività edilizia, per la posa di gru e simili",Cesata + ponteggio,92.405,450,08/08/16,31/10/17
05/07/16,218055/2016,PORTA GARIBALDI SRL ,8370120969,Corso GARIBALDI GIUSEPPE,123,"Occupazioni permanenti per attività edilizia, per la posa di gru e simili",Ponteggio,4.68,450,08/08/16,31/10/17
05/07/16,251100/2016,INAIL ,1165400589,Via MAZZINI GIUSEPPE,7,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",57.33,10,24/10/16,02/11/16
05/07/16,251100/2016,INAIL ,1165400589,Via MAZZINI GIUSEPPE,7,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",2.535,10,24/10/16,02/11/16
05/07/16,251100/2016,INAIL ,1165400589,Via GIARDINO GAETANO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",58.695,10,24/10/16,02/11/16
05/07/16,66677/2016,A.G.R. IMMOBILIARE SRL ,8673940154,Via F.LLI LORENZETTI,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,27.72,150,12/07/16,08/12/16
05/07/16,66677/2016,A.G.R. IMMOBILIARE SRL ,8673940154,Via MORONI GIOVANNI BATTISTA,5,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,27.72,150,12/07/16,08/12/16
05/07/16,,CA.EM.AD. SRL ,3548640154,Corso BUENOS AIRES,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio alla base,30.69,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Corso BUENOS AIRES,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",,1.56,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Corso BUENOS AIRES,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",,1.98,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Corso BUENOS AIRES,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",,1.58,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Corso BUENOS AIRES,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",,4.85,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Corso BUENOS AIRES,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",,5.4,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Via PALAZZI LAZZARO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio alla base,14.04,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Via PALAZZI LAZZARO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",,3.5,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Via PALAZZI LAZZARO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",,4.29,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Via PALAZZI LAZZARO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",,0.69,12,15/03/15,26/03/15
05/07/16,,CA.EM.AD. SRL ,3548640154,Via PALAZZI LAZZARO,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",,1.45,12,15/03/15,26/03/15
05/07/16,,U.B. SRL - AMM.RE GIOVANNI BALZANO ,6341130968,Via MONTE ORTIGARA,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,29.19,36,26/06/15,31/07/15
05/07/16,,U.B. SRL - AMM.RE GIOVANNI BALZANO ,6341130968,Via VERTOIBA,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,10.9,36,26/06/15,31/07/15
05/07/16,,U.B. SRL - AMM.RE GIOVANNI BALZANO ,6341130968,Via VERTOIBA,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Cesata,13.2,36,26/06/15,31/07/15
05/07/16,,U.B. SRL - AMM.RE GIOVANNI BALZANO ,6341130968,Via MONTE ORTIGARA,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,29.19,46,01/08/15,15/09/15
05/07/16,,CONDOMINIO VIA BONO CAIROLI 31 - A.C. AVV.RUGGERO ARMANI ,80329840153,Via BONO CAIROLI ADELAIDE,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",26.6,75,,
05/07/16,,CONDOMINIO VIA BONO CAIROLI 31 - A.C. AVV.RUGGERO ARMANI ,80329840153,Via BONO CAIROLI ADELAIDE,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio,1.61,75,,
05/07/16,,CONDOMINIO VIA BONO CAIROLI 31 - A.C. AVV.RUGGERO ARMANI ,80329840153,Via BONO CAIROLI ADELAIDE,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Ponteggio a sbalzo,1.43,75,,
05/07/16,,CONDOMINIO VIA BONO CAIROLI 31 - A.C. AVV.RUGGERO ARMANI ,80329840153,Via BONO CAIROLI ADELAIDE,0,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili",Piano di lavoro,9.3,75,,
06/07/16,139034/2016,CONDOMINIO VIA SACCHI 4 ,95707940151,Via SACCHI GIUSEPPE,4,"Occupazioni temporanee per attività edilizia, per la posa di gru e simili","Ponteggio transitabile mt. 1,00",19.721,160,17/08/16,23/01/17
